iir_1	documents,collections,database-style searching,unstructured data,relational database,latent linguistic structure,clustering,web search,indexing,personal information retrieval,text classification,term-document matrix,centralized file systems,inverted index,rankings,terms,personal search
iir_1_1	information retrieval,document retrieval,grepping,wildcard pattern matching,terms,querying,retrieval system,corpus,ad hoc retrieval,information need,relevance,precision,recall,inverted index,inverted file,dictionary,lexicon,vocabulary,document collections,ranked retrieval,effectiveness,term-document matrix,postings list,inverted list,binary term-document incidence matrix,ir,relevant documents
iir_1_2	inverted index,normalized tokens,document identifier,sorting,documents,dictionary,document frequency,query,ranked retrieval models,data structure,document collection,index construction,ad hoc text search,postings list,indexing terms,sort-based indexing,efficiency,singly linked lists,skip lists,explicit pointers
iir_1_3	simple conjunctive query,dictionary,intersection,postings lists,documents,merge algorithm,query processing,terms,binary searches,queries,querying,inverted index,document frequency,pointers,indexing,collection,merging
iir_1_4	ranked retrieval models,free text queries,free text querying,documents,terms,proximity operator,information needs,phrase search,inverted index,dictionary,postings lists,term frequency,unstructured search,vector space model,query optimization,ad hoc searching,wildcard query,recall,precision,query models,index structures,unstructured information,indexing
iir_2_1	postings lists,tokens,tokenization,terms,documents,linguistic preprocessing,proximity queries,character sequence decoding,heuristic methods,document unit,indexing granularity,precision,recall,document collection,vocabulary,inverted index construction,machine learning classification problem,querying,multibyte encoding schemes,metadata,binary representation,markup,character encodings,digital representation,relevant information,implicit proximity search,index granularity,information needs,usage patterns
iir_2_2	vocabulary,tokenizer,documents,normalization processes,database,hyphenation,hyphens,phrase queries,phrase query,retrieval systems,compounds,word segmentation,conditional random fields,segmentations,word-based indexing,stop words,collection frequency,stop lists,document rankings,postings lists,normalizations,equivalence classes,equivalence classing,case-folding,truecasing,document collections,language identification classifier,stemming,lemmatization,lemmatizer,recall,precision,type/token distinction,ir,semantic identifiers,tokenization phase,free text queries,linguistic processing,character k-grams,phrase searches,unnormalized tokens,morphological analysis,document unit,index terms,classifiers,classification problem,phrase index,compound-splitter module,machine learning sequence models,keyword searches,web search engine,compression techniques,impact-sorted indexes,token list,query expansion list,query term,query expansion dictionary,phonetic equivalents,stemmers,linguistic morphology
iir_2_3	postings list intersection,skip pointers,postings lists,skip lists,query terms,search engine,skip list pointer,skip span,index construction,postings list data structures,inverted index,encoding,disk postings list
iir_2_4	phrase query,ranked retrieval,biword indexes,documents,part-of-speech-tagging,phrase index,vocabulary,positional indexes,token index,merge operation,document collection,next word index,implicit phrase queries,term proximity weighting,biwords,biword indexing model,tokenize,tokens,biword dictionary,term frequency,inverted index,k word proximity searches,postings intersection,positional postings lists,search engines,query terms,part-of-speech patterns,non-positional index,compressed positional index
iir_3_1	dictionaries,dictionary,inverted indexes,proximity queries,data structures,wildcard query,documents,query terms,standard inverted index,postings list,hashing,search trees,keys,search engines,pointers,binary tree,binary search tree,document collection,vocabulary terms,hash function,balance property,binary test,vocabulary lookup operation,hash collisions,node,children,root,sub-trees,rebalancing,branch,disk blocks
iir_3_2	documents,stemming,search engine,trailing wildcard query,trailing wildcard queries,search tree,leading wildcard queries,inverted index,vocabulary terms,permuterm index,permuterm vocabulary,rotated wildcard query,document retrieval,k-gram indexes,postings list,k-grams,post-filtering,search string,query term,root-to-leaf path,dictionary terms,string-matching operation
iir_3_3	documents,edit distance,k-gram overlap,spelling correction algorithms,queries,search engines,isolated-term correction,context-sensitive correction,edit operations,dynamic programming algorithm,decoding problem,permuterm index,dictionary terms,k-gram indexes,vocabulary terms,query terms,k-grams,postings,bigrams,coefficient,spell-correction,spelling suggestion,collection,phonetic similarity,spelling correction problem,query string,query logs,biwords
iir_3_4	phonetic correction,tolerant retrieval,phonetic hashing,inverted index,vocabulary terms,soundex codes,soundex index,soundex algorithms,soundex map,equivalence classes,searches,query terms,soundex match,string
iir_4_1	index construction,inverted index,indexer,indexes,indexing algorithms,blocked sort-based indexing,static collections,single-pass in-memory indexing,vocabulary,computer clusters,dynamic indexing,ranked retrieval,documents,local file system,content management systems,databases,seek time,buffer,system bus,sort-based indexing algorithm,enterprise search,ir,clock cycles,megabytes,web search,http,information retrieval,main memory caching,mb,blocks,decompression algorithm,gigabytes
iir_4_2	nonpositional index,dominant key,secondary key,terms,postings lists,documents,collections,vocabulary,inverted index,index construction algorithms,tokens,postings file,external sorting algorithm,random disk seeks,blocked sort-based indexing algorithm,data structure,merge,document frequency,strings,secondary storage,multipass algorithms,compression techniques,priority queue,disk space,bytes,main memory,blocks,block files,read buffers,write buffer,time complexity
iir_4_3	single-pass in-memory indexing,scaling properties,data structures,collections,documents,tokens,token stream,postings lists,dynamically constructed index,dictionary terms,time complexity,hash,inverted index,block,disk space,algorithm,index construction
iir_4_4	collections,web index,distributed indexing algorithms,term-partitioned index,document-partitioned index,distributed computing,master node,key-value pairs,terms,map phase,parsers,segment files,reduce phases,indexing system,inverters,term frequencies,term frequency,inverted index,local disk,computer clusters,documents,single-machine indexing,sorted postings list,crawling,search engines,distributed index construction method,memory,chunks,worker nodes,mb,mapping splits,keys,network traffic,distributed environment
iir_4_5	dynamic indexing,document collection,collections,documents,terms,dictionary,postings lists,invalidation bit vector,merging operation,vocabulary,time complexity,logarithmic merging,in-memory auxiliary index,binomial heap data structure,inverted indexes,index maintenance,query processing,search engines,querying,main index,disk seeks,one-file-per-postings-list scheme,file systems,auxiliary index scheme,spelling correction algorithm,reconstruction-from-scratch strategy,index construction,search system
iir_4_6	nonpositional indexes,ranked retrieval,documents,postings lists,impact-sorted index,inverted index,access control lists,user-document matrix,tokens,algorithms,query processing,retrieval systems,information retrieval system,incremental indexing,user's access list,file system,terms
iir_5_1	index compression,inverted index,data structures,compression techniques,search systems,query term,one-term query,disk seek,decompression algorithms,uncompressed postings lists,disk-to-memory transfer,terms,collections,nonpositional postings,rule of 30,tokens,lossy compression,case folding,stemming,stop word elimination,vector space model,dimensionality reduction techniques,latent semantic indexing,short queries,vocabulary,dictionary compression,information retrieval system,ir,compression ratios,caching,cache,decompression methods,blocked storage,postings file,variable byte encoding,γ encoding,compressed index,web search,documents,collection frequency,power law,main memory,dictionary-as-a-string method,nonpositional index,stop words,stop list,bits,lemmatizer,lossy methods,log-log space
iir_5_2	dictionary data structures,compression ratios,dictionaries,disk seeks,queries,main memory,collections,enterprise search server,vocabulary,search systems,string,gigabytes,binary search,term pointers,front coding,minimal perfect hashing,postings file,onboard computers,document frequency,postings list,dictionary terms,postings pointer,term list,query evaluation,multiterabyte collection,documents,mb,linear search,uncompressed dictionary,perfect hashes,perfect hash function,compression scheme
